Disease/Condition,Recommended Yoga Practice,Frequency,Estimated Duration to Benefit,Observed Benefit
Sciatica,Anulom Vilom,Weekly,12 weeks,Helps with sciatica symptoms
Arthritis,Vinyasa Yoga,Weekly,6 months,Helps with arthritis symptoms
Diabetes,Vinyasa Yoga,Weekly,4 weeks,Helps with diabetes symptoms
Depression,Restorative Yoga,3-4 times a week,8 weeks,Helps with depression symptoms
Chronic Fatigue,Meditation,3-4 times a week,8 weeks,Helps with chronic fatigue symptoms
Asthma,Bhujangasana,Weekly,6 months,Helps with asthma symptoms
Obesity,Shavasana,Weekly,12 weeks,Helps with obesity symptoms
Diabetes,Meditation,3-4 times a week,12 weeks,Helps with diabetes symptoms
Heart Disease,Pranayama,Daily,4 weeks,Helps with heart disease symptoms
Arthritis,Surya Namaskar,3-4 times a week,4 weeks,Helps with arthritis symptoms
Heart Disease,Yin Yoga,3-4 times a week,1 year,Helps with heart disease symptoms
Diabetes,Restorative Yoga,Weekly,1 year,Helps with diabetes symptoms
Depression,Restorative Yoga,Daily,1 year,Helps with depression symptoms
PCOS,Pranayama,3-4 times a week,6 months,Helps with pcos symptoms
Back Pain,Trikonasana,Weekly,1 year,Helps with back pain symptoms
Anxiety,Surya Namaskar,Weekly,8 weeks,Helps with anxiety symptoms
Chronic Fatigue,Trikonasana,Daily,12 weeks,Helps with chronic fatigue symptoms
Asthma,Bhujangasana,Daily,8 weeks,Helps with asthma symptoms
Anxiety,Kapilabhati,3-4 times a week,4 weeks,Helps with anxiety symptoms
PCOS,Meditation,Daily,12 weeks,Helps with pcos symptoms
PCOS,Iyengar Yoga,Daily,1 year,Helps with pcos symptoms
Chronic Fatigue,Trikonasana,3-4 times a week,4 weeks,Helps with chronic fatigue symptoms
Asthma,Meditation,Weekly,8 weeks,Helps with asthma symptoms
Diabetes,Bhujangasana,Daily,1 year,Helps with diabetes symptoms
Depression,Surya Namaskar,Daily,12 weeks,Helps with depression symptoms
Chronic Fatigue,Yin Yoga,3-4 times a week,12 weeks,Helps with chronic fatigue symptoms
Insomnia,Kapilabhati,3-4 times a week,8 weeks,Helps with insomnia symptoms
Obesity,Iyengar Yoga,Weekly,12 weeks,Helps with obesity symptoms
Depression,Pranayama,Weekly,4 weeks,Helps with depression symptoms
Back Pain,Pranayama,Weekly,6 months,Helps with back pain symptoms
Anxiety,Hatha Yoga,Daily,12 weeks,Helps with anxiety symptoms
Depression,Yin Yoga,Weekly,8 weeks,Helps with depression symptoms
Hypertension,Hatha Yoga,Daily,1 year,Helps with hypertension symptoms
Diabetes,Trikonasana,3-4 times a week,6 months,Helps with diabetes symptoms
Diabetes,Iyengar Yoga,3-4 times a week,8 weeks,Helps with diabetes symptoms
Depression,Vinyasa Yoga,Daily,6 months,Helps with depression symptoms
PCOS,Restorative Yoga,3-4 times a week,8 weeks,Helps with pcos symptoms
Back Pain,Kapilabhati,3-4 times a week,8 weeks,Helps with back pain symptoms
Chronic Fatigue,Vinyasa Yoga,3-4 times a week,12 weeks,Helps with chronic fatigue symptoms
Arthritis,Meditation,Weekly,4 weeks,Helps with arthritis symptoms
COPD,Anulom Vilom,Weekly,6 months,Helps with copd symptoms
Obesity,Meditation,Weekly,12 weeks,Helps with obesity symptoms
COPD,Ashtanga Yoga,Daily,6 months,Helps with copd symptoms
COPD,Yin Yoga,Daily,12 weeks,Helps with copd symptoms
Insomnia,Shavasana,3-4 times a week,12 weeks,Helps with insomnia symptoms
Heart Disease,Pranayama,Daily,8 weeks,Helps with heart disease symptoms
Heart Disease,Kundalini Yoga,Daily,6 months,Helps with heart disease symptoms
Heart Disease,Kundalini Yoga,Weekly,1 year,Helps with heart disease symptoms
Back Pain,Surya Namaskar,Weekly,4 weeks,Helps with back pain symptoms
Back Pain,Surya Namaskar,3-4 times a week,1 year,Helps with back pain symptoms
Asthma,Iyengar Yoga,Weekly,12 weeks,Helps with asthma symptoms
Diabetes,Vinyasa Yoga,3-4 times a week,12 weeks,Helps with diabetes symptoms
Arthritis,Kapilabhati,Weekly,12 weeks,Helps with arthritis symptoms
Diabetes,Restorative Yoga,Weekly,4 weeks,Helps with diabetes symptoms
Chronic Fatigue,Anulom Vilom,Weekly,4 weeks,Helps with chronic fatigue symptoms
Hypertension,Restorative Yoga,Weekly,8 weeks,Helps with hypertension symptoms
Asthma,Pranayama,3-4 times a week,4 weeks,Helps with asthma symptoms
Insomnia,Yin Yoga,Weekly,12 weeks,Helps with insomnia symptoms
Migraine,Kapilabhati,Weekly,6 months,Helps with migraine symptoms
Migraine,Surya Namaskar,Daily,6 months,Helps with migraine symptoms
PCOS,Yin Yoga,Weekly,8 weeks,Helps with pcos symptoms
Obesity,Iyengar Yoga,3-4 times a week,6 months,Helps with obesity symptoms
Sciatica,Trikonasana,3-4 times a week,8 weeks,Helps with sciatica symptoms
Diabetes,Anulom Vilom,Weekly,8 weeks,Helps with diabetes symptoms
Insomnia,Trikonasana,Weekly,8 weeks,Helps with insomnia symptoms
COPD,Yin Yoga,Daily,8 weeks,Helps with copd symptoms
Asthma,Iyengar Yoga,Daily,12 weeks,Helps with asthma symptoms
Anxiety,Pranayama,3-4 times a week,6 months,Helps with anxiety symptoms
Arthritis,Yin Yoga,Weekly,1 year,Helps with arthritis symptoms
Insomnia,Anulom Vilom,Weekly,4 weeks,Helps with insomnia symptoms
COPD,Meditation,Daily,6 months,Helps with copd symptoms
Migraine,Anulom Vilom,3-4 times a week,12 weeks,Helps with migraine symptoms
Heart Disease,Surya Namaskar,Weekly,8 weeks,Helps with heart disease symptoms
Insomnia,Bhujangasana,Weekly,6 months,Helps with insomnia symptoms
Anxiety,Trikonasana,Daily,6 months,Helps with anxiety symptoms
Back Pain,Trikonasana,Daily,8 weeks,Helps with back pain symptoms
Back Pain,Bhujangasana,3-4 times a week,12 weeks,Helps with back pain symptoms
Back Pain,Kapilabhati,3-4 times a week,12 weeks,Helps with back pain symptoms
Diabetes,Surya Namaskar,Daily,6 months,Helps with diabetes symptoms
Asthma,Surya Namaskar,Weekly,4 weeks,Helps with asthma symptoms
Diabetes,Vinyasa Yoga,3-4 times a week,12 weeks,Helps with diabetes symptoms
Depression,Trikonasana,3-4 times a week,6 months,Helps with depression symptoms
Migraine,Bhujangasana,Weekly,4 weeks,Helps with migraine symptoms
Hypertension,Hatha Yoga,3-4 times a week,8 weeks,Helps with hypertension symptoms
Sciatica,Shavasana,Weekly,12 weeks,Helps with sciatica symptoms
COPD,Surya Namaskar,3-4 times a week,6 months,Helps with copd symptoms
Chronic Fatigue,Bhujangasana,Daily,4 weeks,Helps with chronic fatigue symptoms
Sciatica,Restorative Yoga,Weekly,1 year,Helps with sciatica symptoms
Chronic Fatigue,Restorative Yoga,Weekly,12 weeks,Helps with chronic fatigue symptoms
Hypertension,Ashtanga Yoga,Daily,12 weeks,Helps with hypertension symptoms
Insomnia,Yin Yoga,Daily,1 year,Helps with insomnia symptoms
Obesity,Restorative Yoga,Daily,8 weeks,Helps with obesity symptoms
Heart Disease,Ashtanga Yoga,3-4 times a week,1 year,Helps with heart disease symptoms
Obesity,Meditation,3-4 times a week,6 months,Helps with obesity symptoms
Obesity,Kapilabhati,3-4 times a week,1 year,Helps with obesity symptoms
Asthma,Meditation,Daily,6 months,Helps with asthma symptoms
PCOS,Pranayama,3-4 times a week,6 months,Helps with pcos symptoms
Anxiety,Trikonasana,3-4 times a week,4 weeks,Helps with anxiety symptoms
Depression,Restorative Yoga,3-4 times a week,6 months,Helps with depression symptoms
Arthritis,Ashtanga Yoga,Daily,4 weeks,Helps with arthritis symptoms
Asthma,Anulom Vilom,3-4 times a week,8 weeks,Helps with asthma symptoms
PCOS,Hatha Yoga,3-4 times a week,1 year,Helps with pcos symptoms
Insomnia,Ashtanga Yoga,Daily,4 weeks,Helps with insomnia symptoms
Insomnia,Restorative Yoga,3-4 times a week,12 weeks,Helps with insomnia symptoms
Chronic Fatigue,Shavasana,Daily,1 year,Helps with chronic fatigue symptoms
Chronic Fatigue,Hatha Yoga,Daily,6 months,Helps with chronic fatigue symptoms
Insomnia,Kapilabhati,3-4 times a week,6 months,Helps with insomnia symptoms
Back Pain,Trikonasana,3-4 times a week,1 year,Helps with back pain symptoms
Sciatica,Meditation,3-4 times a week,12 weeks,Helps with sciatica symptoms
COPD,Yin Yoga,Weekly,4 weeks,Helps with copd symptoms
Insomnia,Meditation,Weekly,4 weeks,Helps with insomnia symptoms
PCOS,Iyengar Yoga,3-4 times a week,1 year,Helps with pcos symptoms
Chronic Fatigue,Kundalini Yoga,3-4 times a week,1 year,Helps with chronic fatigue symptoms
Sciatica,Shavasana,3-4 times a week,6 months,Helps with sciatica symptoms
COPD,Yin Yoga,Daily,4 weeks,Helps with copd symptoms
Diabetes,Shavasana,Weekly,8 weeks,Helps with diabetes symptoms
Insomnia,Iyengar Yoga,3-4 times a week,4 weeks,Helps with insomnia symptoms
Arthritis,Anulom Vilom,3-4 times a week,12 weeks,Helps with arthritis symptoms
Chronic Fatigue,Vinyasa Yoga,Weekly,6 months,Helps with chronic fatigue symptoms
COPD,Pranayama,3-4 times a week,4 weeks,Helps with copd symptoms
PCOS,Hatha Yoga,3-4 times a week,12 weeks,Helps with pcos symptoms
Sciatica,Vinyasa Yoga,Weekly,12 weeks,Helps with sciatica symptoms
Insomnia,Surya Namaskar,Weekly,12 weeks,Helps with insomnia symptoms
Asthma,Pranayama,3-4 times a week,8 weeks,Helps with asthma symptoms
Arthritis,Restorative Yoga,Daily,4 weeks,Helps with arthritis symptoms
Diabetes,Kapilabhati,Daily,1 year,Helps with diabetes symptoms
Hypertension,Shavasana,Weekly,4 weeks,Helps with hypertension symptoms
Obesity,Shavasana,Daily,6 months,Helps with obesity symptoms
Arthritis,Trikonasana,3-4 times a week,6 months,Helps with arthritis symptoms
Arthritis,Pranayama,Daily,6 months,Helps with arthritis symptoms
Chronic Fatigue,Bhujangasana,3-4 times a week,1 year,Helps with chronic fatigue symptoms
PCOS,Surya Namaskar,3-4 times a week,6 months,Helps with pcos symptoms
Sciatica,Shavasana,Weekly,12 weeks,Helps with sciatica symptoms
Anxiety,Restorative Yoga,3-4 times a week,8 weeks,Helps with anxiety symptoms
COPD,Anulom Vilom,Daily,1 year,Helps with copd symptoms
Depression,Iyengar Yoga,Daily,8 weeks,Helps with depression symptoms
Migraine,Kapilabhati,Daily,6 months,Helps with migraine symptoms
Obesity,Anulom Vilom,Daily,6 months,Helps with obesity symptoms
Sciatica,Vinyasa Yoga,Daily,6 months,Helps with sciatica symptoms
COPD,Yin Yoga,3-4 times a week,4 weeks,Helps with copd symptoms
Migraine,Surya Namaskar,Daily,12 weeks,Helps with migraine symptoms
Arthritis,Yin Yoga,Daily,4 weeks,Helps with arthritis symptoms
PCOS,Kundalini Yoga,Daily,6 months,Helps with pcos symptoms
Arthritis,Yin Yoga,Daily,12 weeks,Helps with arthritis symptoms
COPD,Shavasana,Daily,12 weeks,Helps with copd symptoms
Diabetes,Hatha Yoga,Weekly,8 weeks,Helps with diabetes symptoms
Insomnia,Kundalini Yoga,Weekly,8 weeks,Helps with insomnia symptoms
Migraine,Restorative Yoga,3-4 times a week,8 weeks,Helps with migraine symptoms
PCOS,Surya Namaskar,3-4 times a week,1 year,Helps with pcos symptoms
Back Pain,Pranayama,3-4 times a week,12 weeks,Helps with back pain symptoms
Heart Disease,Yin Yoga,Weekly,12 weeks,Helps with heart disease symptoms
Diabetes,Kundalini Yoga,3-4 times a week,6 months,Helps with diabetes symptoms
Obesity,Pranayama,Daily,8 weeks,Helps with obesity symptoms
PCOS,Surya Namaskar,3-4 times a week,4 weeks,Helps with pcos symptoms
Back Pain,Hatha Yoga,3-4 times a week,6 months,Helps with back pain symptoms
Sciatica,Trikonasana,Weekly,4 weeks,Helps with sciatica symptoms
COPD,Anulom Vilom,3-4 times a week,8 weeks,Helps with copd symptoms
Back Pain,Trikonasana,3-4 times a week,1 year,Helps with back pain symptoms
Depression,Pranayama,Daily,6 months,Helps with depression symptoms
Chronic Fatigue,Hatha Yoga,3-4 times a week,6 months,Helps with chronic fatigue symptoms
Arthritis,Pranayama,Daily,1 year,Helps with arthritis symptoms
Hypertension,Shavasana,3-4 times a week,1 year,Helps with hypertension symptoms
Diabetes,Kundalini Yoga,Daily,12 weeks,Helps with diabetes symptoms
Back Pain,Vinyasa Yoga,Daily,12 weeks,Helps with back pain symptoms
COPD,Pranayama,Weekly,8 weeks,Helps with copd symptoms
Chronic Fatigue,Hatha Yoga,Weekly,1 year,Helps with chronic fatigue symptoms
Arthritis,Surya Namaskar,Weekly,4 weeks,Helps with arthritis symptoms
Back Pain,Shavasana,Daily,8 weeks,Helps with back pain symptoms
Chronic Fatigue,Anulom Vilom,3-4 times a week,1 year,Helps with chronic fatigue symptoms
Migraine,Kapilabhati,3-4 times a week,6 months,Helps with migraine symptoms
Arthritis,Bhujangasana,Weekly,4 weeks,Helps with arthritis symptoms
Hypertension,Pranayama,Daily,6 months,Helps with hypertension symptoms
Back Pain,Vinyasa Yoga,3-4 times a week,1 year,Helps with back pain symptoms
Diabetes,Shavasana,Weekly,1 year,Helps with diabetes symptoms
Sciatica,Kundalini Yoga,Weekly,8 weeks,Helps with sciatica symptoms
Hypertension,Kundalini Yoga,3-4 times a week,6 months,Helps with hypertension symptoms
COPD,Bhujangasana,Daily,6 months,Helps with copd symptoms
PCOS,Anulom Vilom,Daily,1 year,Helps with pcos symptoms
Diabetes,Anulom Vilom,Daily,6 months,Helps with diabetes symptoms
Back Pain,Restorative Yoga,Daily,12 weeks,Helps with back pain symptoms
Arthritis,Restorative Yoga,Weekly,6 months,Helps with arthritis symptoms
Heart Disease,Trikonasana,Weekly,6 months,Helps with heart disease symptoms
Chronic Fatigue,Iyengar Yoga,Daily,8 weeks,Helps with chronic fatigue symptoms
Heart Disease,Vinyasa Yoga,Daily,12 weeks,Helps with heart disease symptoms
COPD,Hatha Yoga,3-4 times a week,1 year,Helps with copd symptoms
Chronic Fatigue,Hatha Yoga,3-4 times a week,6 months,Helps with chronic fatigue symptoms
Arthritis,Yin Yoga,Weekly,1 year,Helps with arthritis symptoms
Chronic Fatigue,Iyengar Yoga,Daily,4 weeks,Helps with chronic fatigue symptoms
Depression,Yin Yoga,Daily,4 weeks,Helps with depression symptoms
Back Pain,Iyengar Yoga,Daily,8 weeks,Helps with back pain symptoms
COPD,Shavasana,3-4 times a week,12 weeks,Helps with copd symptoms
Hypertension,Restorative Yoga,Weekly,6 months,Helps with hypertension symptoms
Diabetes,Trikonasana,3-4 times a week,12 weeks,Helps with diabetes symptoms
COPD,Anulom Vilom,3-4 times a week,8 weeks,Helps with copd symptoms
Back Pain,Kundalini Yoga,Daily,12 weeks,Helps with back pain symptoms
Arthritis,Ashtanga Yoga,Daily,6 months,Helps with arthritis symptoms
Diabetes,Trikonasana,Daily,8 weeks,Helps with diabetes symptoms
PCOS,Pranayama,Daily,8 weeks,Helps with pcos symptoms
Sciatica,Restorative Yoga,Daily,4 weeks,Helps with sciatica symptoms
Insomnia,Hatha Yoga,3-4 times a week,1 year,Helps with insomnia symptoms
Heart Disease,Trikonasana,3-4 times a week,12 weeks,Helps with heart disease symptoms
Arthritis,Ashtanga Yoga,Weekly,8 weeks,Helps with arthritis symptoms
Heart Disease,Trikonasana,3-4 times a week,8 weeks,Helps with heart disease symptoms
Anxiety,Kundalini Yoga,Weekly,4 weeks,Helps with anxiety symptoms
PCOS,Yin Yoga,Daily,6 months,Helps with pcos symptoms
Obesity,Trikonasana,Daily,4 weeks,Helps with obesity symptoms
Asthma,Surya Namaskar,Weekly,6 months,Helps with asthma symptoms
Obesity,Kundalini Yoga,3-4 times a week,6 months,Helps with obesity symptoms
Heart Disease,Trikonasana,Weekly,1 year,Helps with heart disease symptoms
Diabetes,Pranayama,3-4 times a week,8 weeks,Helps with diabetes symptoms
Anxiety,Trikonasana,3-4 times a week,8 weeks,Helps with anxiety symptoms
COPD,Pranayama,Daily,4 weeks,Helps with copd symptoms
Obesity,Kapilabhati,Daily,1 year,Helps with obesity symptoms
Asthma,Bhujangasana,Daily,12 weeks,Helps with asthma symptoms
Depression,Trikonasana,Weekly,1 year,Helps with depression symptoms
Depression,Hatha Yoga,3-4 times a week,4 weeks,Helps with depression symptoms
Anxiety,Yin Yoga,Daily,6 months,Helps with anxiety symptoms
Back Pain,Iyengar Yoga,Daily,6 months,Helps with back pain symptoms
Back Pain,Iyengar Yoga,Weekly,12 weeks,Helps with back pain symptoms
Insomnia,Kundalini Yoga,Weekly,6 months,Helps with insomnia symptoms
COPD,Restorative Yoga,Daily,12 weeks,Helps with copd symptoms
Back Pain,Pranayama,Daily,4 weeks,Helps with back pain symptoms
PCOS,Anulom Vilom,Weekly,12 weeks,Helps with pcos symptoms
Anxiety,Hatha Yoga,3-4 times a week,12 weeks,Helps with anxiety symptoms
Sciatica,Surya Namaskar,3-4 times a week,8 weeks,Helps with sciatica symptoms
Sciatica,Hatha Yoga,3-4 times a week,6 months,Helps with sciatica symptoms
Back Pain,Pranayama,3-4 times a week,1 year,Helps with back pain symptoms
Anxiety,Ashtanga Yoga,Daily,12 weeks,Helps with anxiety symptoms
Hypertension,Iyengar Yoga,Daily,12 weeks,Helps with hypertension symptoms
Chronic Fatigue,Pranayama,3-4 times a week,8 weeks,Helps with chronic fatigue symptoms
PCOS,Kundalini Yoga,3-4 times a week,12 weeks,Helps with pcos symptoms
Depression,Kapilabhati,Weekly,4 weeks,Helps with depression symptoms
Hypertension,Kundalini Yoga,Daily,8 weeks,Helps with hypertension symptoms
Chronic Fatigue,Ashtanga Yoga,Weekly,1 year,Helps with chronic fatigue symptoms
Asthma,Kundalini Yoga,Weekly,6 months,Helps with asthma symptoms
Hypertension,Shavasana,Daily,6 months,Helps with hypertension symptoms
Anxiety,Yin Yoga,Weekly,6 months,Helps with anxiety symptoms
Anxiety,Vinyasa Yoga,Daily,4 weeks,Helps with anxiety symptoms
PCOS,Surya Namaskar,3-4 times a week,1 year,Helps with pcos symptoms
Insomnia,Iyengar Yoga,Weekly,4 weeks,Helps with insomnia symptoms
Back Pain,Restorative Yoga,Daily,4 weeks,Helps with back pain symptoms
COPD,Yin Yoga,3-4 times a week,4 weeks,Helps with copd symptoms
Hypertension,Vinyasa Yoga,3-4 times a week,8 weeks,Helps with hypertension symptoms
Asthma,Restorative Yoga,3-4 times a week,6 months,Helps with asthma symptoms
COPD,Bhujangasana,3-4 times a week,1 year,Helps with copd symptoms
Anxiety,Meditation,3-4 times a week,1 year,Helps with anxiety symptoms
Sciatica,Yin Yoga,Daily,1 year,Helps with sciatica symptoms
Diabetes,Kapilabhati,3-4 times a week,12 weeks,Helps with diabetes symptoms
Heart Disease,Kundalini Yoga,Weekly,6 months,Helps with heart disease symptoms
Insomnia,Kapilabhati,Weekly,4 weeks,Helps with insomnia symptoms
Asthma,Trikonasana,3-4 times a week,1 year,Helps with asthma symptoms
Chronic Fatigue,Pranayama,3-4 times a week,1 year,Helps with chronic fatigue symptoms
Asthma,Kapilabhati,3-4 times a week,4 weeks,Helps with asthma symptoms
Anxiety,Hatha Yoga,3-4 times a week,6 months,Helps with anxiety symptoms
Obesity,Hatha Yoga,Weekly,12 weeks,Helps with obesity symptoms
Sciatica,Pranayama,Daily,1 year,Helps with sciatica symptoms
Hypertension,Trikonasana,3-4 times a week,6 months,Helps with hypertension symptoms
Obesity,Iyengar Yoga,Daily,8 weeks,Helps with obesity symptoms
PCOS,Kapilabhati,Weekly,6 months,Helps with pcos symptoms
Asthma,Surya Namaskar,Daily,6 months,Helps with asthma symptoms
Hypertension,Shavasana,Daily,8 weeks,Helps with hypertension symptoms
Anxiety,Shavasana,Weekly,1 year,Helps with anxiety symptoms
Migraine,Kapilabhati,3-4 times a week,6 months,Helps with migraine symptoms
Diabetes,Meditation,3-4 times a week,4 weeks,Helps with diabetes symptoms
